address,appCount,id,name,node,network
0x011a080c970cfe78150a70141b24d45b2f5b5a76,2,0x011a080c970cfe78150a70141b24d45b2f5b5a76,dcl-list,0x1140ead91a63facf298a963dd4bb9904cec93057a7f66a8e6e9a3d4a7f1ce6d4,mainnet
0x01f9d9ad8461bb509c73f7ed641030eb07e5582a,4,0x01f9d9ad8461bb509c73f7ed641030eb07e5582a,voting-aggregator,0x818d8ea9df3dca764232c22548318a98f82f388b760b4b5abe80a4b40f9b2076,mainnet
0x020d93d08c09f82763862606d8c6927e295e7cf8,1,0x020d93d08c09f82763862606d8c6927e295e7cf8,pnetwork-voting,0x9260bf6a9c9e6c72c752ae2148b70a0e01c8aef8647622cc64e7b71a79d1c934,mainnet
0x02ac0be6c48e0b241eb479744ccc047e05270950,1,0x02ac0be6c48e0b241eb479744ccc047e05270950,rewards-cd,0x0b0344c7020f280f3bd721c709ffc5b76646a540558d08caaceea9cdbb518d19,mainnet
0x046b42000594a879db857ec8d6dc4340b99ab14e,1,0x046b42000594a879db857ec8d6dc4340b99ab14e,althea,0x33ec2d92fc47b5383901b8a3856d208d3a66104fa46c4a06f3f97536e9b6fc5b,mainnet
0x084980425774ff79a6d23806b22f6f8d74c51545,0,0x084980425774ff79a6d23806b22f6f8d74c51545,whitelist-oracle,0x32ceb944f61770acf9d24fe42fd7ad630d08049a3b80b1475b120ab23569ba92,mainnet
0x08b4a92603003385d3bba134e059406fd4590c58,0,0x08b4a92603003385d3bba134e059406fd4590c58,apm-repo,0x7b4f7602faf178a4a239b8b2ed4155358e256b08ee7c6b6b1b01ebec891ce1f1,mainnet
0x0a9be50c24f8536fa11d17a77d0baa4290f720fc,155,0x0a9be50c24f8536fa11d17a77d0baa4290f720fc,projects,0xac5c7cc8f4ed07bb3543b5a4152c4f1a045e1be68bd86e2cf6720b680d1d14f3,mainnet
0x0ad013f4cec8abc51fab36f2b5c364f1e5940c25,0,0x0ad013f4cec8abc51fab36f2b5c364f1e5940c25,dandelion-org-template,0x534b69e1f887c1c0fb59f5b0fd13a38f631435371c78122d040c5524822e63b1,mainnet
0x0b31f92a16b8f680a52cbd4ee9ff5a49178ef3d5,1,0x0b31f92a16b8f680a52cbd4ee9ff5a49178ef3d5,cybervesting,0xb3898b383ac8a6bae742b41163ced5666086e3e367be1b3de9251c2dbc45d412,mainnet
0x113fb12ab67f51899bc55b715dc442985bc2a500,1,0x113fb12ab67f51899bc55b715dc442985bc2a500,challenge-app,0x67c5438d71d05e58f99e88d6fb61ea5356b0f57106d3aba65c823267cc1cd07e,mainnet
0x12ccf2830f54b865f6d97aa0bc18897baec02185,1631,0x12ccf2830f54b865f6d97aa0bc18897baec02185,voting,0x9fa3927f639745e587912d4b0fea7ef9013bf93fb907d29faeab57417ba6e1d4,mainnet
0x130f692e5241f71e7e0d9a20dc462a4559ebefbf,1,0x130f692e5241f71e7e0d9a20dc462a4559ebefbf,mars-address-book,0x8e90b6b6752c1feddd209d46690c04b532e0ebb3a251b2b309d1032b2a0ec187,mainnet
0x133f95228798e55dd7b5e36253fd2ff3fa3a8e53,1,0x133f95228798e55dd7b5e36253fd2ff3fa3a8e53,futarchy,0xe1103655b21eaf74209e26bc58ee715bc639ce36e18741f2ce83d3210a785186,mainnet
0x13bc8afe80b7a1911b8c7cd37a0eb23097093025,0,0x13bc8afe80b7a1911b8c7cd37a0eb23097093025,about,0xc73e096ecfea4357683b6c24b1053a23678e022b46a8945ce88b54f0560be8ed,mainnet
0x14211fb510d8737d717b522ea668b1962f4a2083,1,0x14211fb510d8737d717b522ea668b1962f4a2083,steroids,0x6a53a2bdbe329bfa2f9d1f974d6acf928bff100ef9a4a56c82824f6903975acd,mainnet
