createdAt,count
2019-02-01,1
2019-03-01,17
2019-04-01,2
2019-05-01,20
2019-06-01,11
2019-07-01,15
2019-08-01,16
2019-09-01,12
2019-10-01,24
2019-11-01,22
2019-12-01,24
2020-01-01,32
2020-02-01,66
2020-03-01,61
2020-04-01,70
2020-05-01,109
2020-06-01,158
2020-07-01,66
2020-08-01,123
2020-09-01,70
2020-10-01,35

