date,count
2018-10-01,18
2018-11-01,69
2018-12-01,47
2019-01-01,64
2019-02-01,51
2019-03-01,69
2019-04-01,108
2019-05-01,94
2019-06-01,78
2019-07-01,73
2019-08-01,74
2019-09-01,68
2019-10-01,80
2019-11-01,97
2019-12-01,94
2020-01-01,122
2020-02-01,98
2020-03-01,115
2020-04-01,136
2020-05-01,105
2020-06-01,103
2020-07-01,85
2020-08-01,73
2020-09-01,77
2020-10-01,87
2020-11-01,63
