id,memberCount,proposalCount,rageQuitCount,summoner,summoningTime,timestamp,name,totalGas,version,voteCount,network
0xe8a06e64812a06a12c170cecb15c6838f6d26637,0,0,0,0xafa8612aae19ac707ce0b0fc42615bb8690e7cad,1584438448,1584438448,SWEAT DAO,33550770000000000,1,0,mainnet
0xe917c7c6932a1b9393e8f2df6e3c2531b58e37db,0,2,0,0x69ef61afc3aa356e1ac97347119d75cbdabef534,1599537475,1599537576,POP DAO,254660527435265737,2,1,mainnet
0xe9d7e590171cb5080ab8dfd45850692a714260f0,0,41,22,0x8564191931dcdb6ef58f0ad5425b41a8586d2895,1598430489,1598466388,DeFi Omega,8694634138252696707,2,33,mainnet
0xeaa32c0fcc78c86e41fe031bbfa7ba695126dff1,0,0,0,0x9d31e30003f253563ff108bc60b16fdf2c93abb5,1580989811,1580989811,Buildao,26840400000000000,1,0,mainnet
0xeb02a1b9981b771dbf53500a9ba9bc01469452c3,0,2,0,0x9d31e30003f253563ff108bc60b16fdf2c93abb5,1600602920,1600602943,Sprout Treasury,227999192000000000,2,0,mainnet
0xec9728a48617ea11137d05c4d7a60164c14db672,0,0,0,0x0d97e169bd4f99418cab729ba5a84df44ea44f85,1576163925,1576163925,AmbassaDAOrs,26840832000000000,1,0,mainnet
0xee629a192374caf2a72cf1695c485c5c89611ef2,0,124,137,0x6dc43be93a8b5fd37dc16f24872babc6da5e5e3e,1589510449,1589816496,MetaCartel v2,10150678235556102364,2,127,mainnet
0xef8d82a94d5d199827c5bdaeac0e02b879b12b7a,0,0,0,0x1b158330eb18839f50649f4cb8f49954214866a3,1581149051,1581149051,FUTURE,6710100000000000,1,0,mainnet
0xf0cbba291d9809569d0a74ea56cd20253a421f8d,0,2,0,0xcc5ddc8ccd5b1e90bc42f998ec864ead0090a12b,1600723855,1600724015,MDAO,90501581391577923,2,2,mainnet
0xf251bd64dc9bb8a9e0180b0adf414799101bc3e8,0,3,0,0x865c2f85c9fea1c6ac7f53de07554d68cb92ed88,1593369563,1593370399,DAO DAO,79738757000000000,2,0,mainnet
0xf3e556b94378c1a1cbb1e4681b8660e04d3d8146,0,0,0,0xf3d9281fa183b74f32b96e1c5244596045f4ede8,1576169908,1576169908,BaoDao,26900328000000000,1,0,mainnet
0xf4ea80eacd51173c33ae154da6f6e852b5133ecc,0,0,0,0xc957fcd9be2dcd01385fdceb2b9f72f921a271ee,1571118468,1571118468,RobinDAO,7398771600000000,1,0,mainnet
0xf551b1c3822ba1062599e0f7d7db0a282ec4076b,0,0,0,0xd26a3f686d43f2a62ba9eae2ff77e9f516d945b9,1571429157,1571429157,Timebomb DAO,6726540000000000,1,0,mainnet
